taskId,type,product,team,startTime,endTime,duration,mechanics,shift,priority,dependencies,isLatePartTask,isReworkTask,isCritical,slackHours,Scenario,MaxLateness,TotalLateness,InstanceBased
Product D_QI_180,Quality Inspection,Product D,Quality Team 6,2025-08-26T17:30:00,2025-08-26T18:15:00,45,2,2nd,220,[],False,False,False,886.25,baseline,-7,0,True
Product A_QI_192,Quality Inspection,Product A,Quality Team 6,2025-08-26T19:00:00,2025-08-26T19:45:00,45,2,2nd,221,[],False,False,False,526.25,baseline,-7,0,True
Product B_QI_192,Quality Inspection,Product B,Quality Team 6,2025-08-26T19:00:00,2025-08-26T19:45:00,45,2,2nd,222,[],False,False,False,670.25,baseline,-7,0,True
Product A_QI_196,Quality Inspection,Product A,Quality Team 4,2025-08-26T23:00:00,2025-08-26T23:45:00,45,2,3rd,223,[],False,False,False,529.0,baseline,-7,0,True
Product C_84,Production,Product C,Mechanic Team 4,2025-08-26T23:00:00,2025-08-27T00:30:00,90,3,3rd,224,[],False,False,False,725.25,baseline,-7,0,True
Product C_85,Production,Product C,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:40:00,40,1,3rd,225,[],False,False,False,730.75,baseline,-7,0,True
Product C_83,Production,Product C,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:30:00,30,1,3rd,226,[],False,False,False,732.5,baseline,-7,0,True
Product C_87,Production,Product C,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:50:00,50,1,3rd,227,[],False,False,False,736.5,baseline,-7,0,True
Product D_84,Production,Product D,Mechanic Team 4,2025-08-26T23:00:00,2025-08-27T00:30:00,90,3,3rd,228,[],False,False,False,869.25,baseline,-7,0,True
Product D_83,Production,Product D,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:30:00,30,1,3rd,229,[],False,False,False,876.5,baseline,-7,0,True
Product D_87,Production,Product D,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:50:00,50,1,3rd,230,[],False,False,False,880.5,baseline,-7,0,True
Product D_93,Production,Product D,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:40:00,40,1,3rd,231,[],False,False,False,886.5,baseline,-7,0,True
Product D_95,Production,Product D,Mechanic Team 7,2025-08-26T23:00:00,2025-08-26T23:30:00,30,1,3rd,232,[],False,False,False,886.75,baseline,-7,0,True
Product D_89,Production,Product D,Mechanic Team 7,2025-08-26T23:30:00,2025-08-26T23:50:00,20,1,3rd,233,[],False,False,False,887.5,baseline,-7,0,True
Product D_QI_195,Quality Inspection,Product D,Quality Team 7,2025-08-26T23:30:00,2025-08-27T00:15:00,45,1,3rd,234,[],False,False,False,888.5,baseline,-7,0,True
Product C_QI_187,Quality Inspection,Product C,Quality Team 7,2025-08-26T23:50:00,2025-08-27T00:35:00,45,1,3rd,235,[],False,False,False,743.1666666666666,baseline,-7,0,True
Product D_QI_187,Quality Inspection,Product D,Quality Team 7,2025-08-26T23:50:00,2025-08-27T00:35:00,45,1,3rd,236,[],False,False,False,887.1666666666666,baseline,-7,0,True
Product C_QI_184,Quality Inspection,Product C,Quality Team 4,2025-08-27T00:30:00,2025-08-27T01:15:00,45,2,3rd,237,[],False,False,False,739.5,baseline,-7,0,True
Product D_QI_184,Quality Inspection,Product D,Quality Team 4,2025-08-27T00:30:00,2025-08-27T01:15:00,45,2,3rd,238,[],False,False,False,883.5,baseline,-7,0,True
Product D_96,Production,Product D,Mechanic Team 4,2025-08-27T00:30:00,2025-08-27T02:30:00,120,4,3rd,239,[],False,False,False,885.25,baseline,-7,0,True
Product D_97,Production,Product D,Mechanic Team 7,2025-08-27T00:35:00,2025-08-27T00:55:00,20,1,3rd,240,[],False,False,False,887.4166666666666,baseline,-7,0,True
Product D_91,Production,Product D,Mechanic Team 7,2025-08-27T01:15:00,2025-08-27T01:45:00,30,1,3rd,241,[],False,False,False,884.25,baseline,-7,0,True
Product D_QI_196,Quality Inspection,Product D,Quality Team 4,2025-08-27T02:30:00,2025-08-27T03:15:00,45,2,3rd,242,[],False,False,False,885.5,baseline,-7,0,True
Product B_100,Production,Product B,Mechanic Team 5,2025-08-27T06:00:00,2025-08-27T07:30:00,90,3,1st,243,[],False,False,False,663.75,baseline,-7,0,True
Product C_QI_188,Quality Inspection,Product C,Quality Team 5,2025-08-27T06:00:00,2025-08-27T06:45:00,45,2,1st,244,[],False,False,False,735.5,baseline,-7,0,True
Product D_78,Production,Product D,Mechanic Team 5,2025-08-27T06:00:00,2025-08-27T07:00:00,60,2,1st,245,[],False,False,False,870.5,baseline,-7,0,True
Product D_90,Production,Product D,Mechanic Team 3,2025-08-27T06:00:00,2025-08-27T07:00:00,60,2,1st,246,[],False,False,False,874.5,baseline,-7,0,True
Product D_QI_190,Quality Inspection,Product D,Quality Team 3,2025-08-27T07:00:00,2025-08-27T07:45:00,45,1,1st,247,[],False,False,False,875.75,baseline,-7,0,True
Product D_QI_178,Quality Inspection,Product D,Quality Team 5,2025-08-27T07:00:00,2025-08-27T07:45:00,45,1,1st,248,[],False,False,False,878.5,baseline,-7,0,True
Product A_100,Production,Product A,Mechanic Team 5,2025-08-27T07:30:00,2025-08-27T09:00:00,90,3,1st,249,[],False,False,False,518.25,baseline,-7,0,True
Product B_QI_200,Quality Inspection,Product B,Quality Team 5,2025-08-27T07:30:00,2025-08-27T08:15:00,45,2,1st,250,[],False,False,False,664.5,baseline,-7,0,True
Product A_QI_200,Quality Inspection,Product A,Quality Team 5,2025-08-27T09:00:00,2025-08-27T09:45:00,45,2,1st,251,[],False,False,False,519.0,baseline,-7,0,True
Product D_92,Production,Product D,Mechanic Team 6,2025-08-27T14:30:00,2025-08-27T16:00:00,90,3,2nd,252,[],False,False,False,864.5,baseline,-7,0,True
Product D_98,Production,Product D,Mechanic Team 2,2025-08-27T14:30:00,2025-08-27T15:30:00,60,2,2nd,253,[],False,False,False,871.25,baseline,-7,0,True
Product D_QI_198,Quality Inspection,Product D,Quality Team 2,2025-08-27T15:30:00,2025-08-27T16:15:00,45,1,2nd,254,[],False,False,False,872.5,baseline,-7,0,True
Product D_QI_192,Quality Inspection,Product D,Quality Team 6,2025-08-27T16:00:00,2025-08-27T16:45:00,45,2,2nd,255,[],False,False,False,865.25,baseline,-7,0,True
Product D_99,Production,Product D,Mechanic Team 7,2025-08-27T23:00:00,2025-08-27T23:50:00,50,1,3rd,256,[],False,False,False,865.0,baseline,-7,0,True
Product D_100,Production,Product D,Mechanic Team 5,2025-08-28T06:00:00,2025-08-28T07:30:00,90,3,1st,257,[],False,False,False,855.75,baseline,-7,0,True
Product D_QI_200,Quality Inspection,Product D,Quality Team 5,2025-08-28T07:30:00,2025-08-28T08:15:00,45,2,1st,258,[],False,False,False,856.5,baseline,-7,0,True
LP_305,Late Part,Product D,Mechanic Team 2,2025-08-29T14:30:00,2025-08-29T17:30:00,180,2,2nd,259,[],True,False,False,825.5,baseline,-7,0,True
LP_301,Late Part,Product E,Mechanic Team 1,2025-09-02T06:00:00,2025-09-02T08:00:00,120,2,1st,260,[],True,False,False,318.2,baseline,-7,0,True
Product E_2,Production,Product E,Mechanic Team 1,2025-09-02T08:00:00,2025-09-02T09:00:00,60,2,1st,261,[],False,False,False,319.2,baseline,-7,0,True
Product E_6,Production,Product E,Mechanic Team 3,2025-09-02T08:00:00,2025-09-02T09:30:00,90,2,1st,262,[],False,False,False,357.7,baseline,-7,0,True
Product E_4,Production,Product E,Mechanic Team 1,2025-09-02T09:00:00,2025-09-02T11:00:00,120,3,1st,263,[],False,False,False,361.7,baseline,-7,0,True
Product E_9,Production,Product E,Mechanic Team 3,2025-09-02T09:00:00,2025-09-02T09:50:00,50,1,1st,264,[],False,False,False,454.2,baseline,-7,0,True
Product E_QI_106,Quality Inspection,Product E,Quality Team 3,2025-09-02T09:30:00,2025-09-02T10:15:00,45,1,1st,265,[],False,False,False,384.45,baseline,-7,0,True
Product E_19,Production,Product E,Mechanic Team 5,2025-09-02T09:30:00,2025-09-02T09:50:00,20,1,1st,266,[],False,False,False,488.25,baseline,-7,0,True
